"구분(1)",구분(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"구분(1)",구분(2),총합계,총합계,단독주거시설,단독주거시설,공동주거시설,공동주거시설,공업시설,공업시설,상업업무시설,상업업무시설,혼합지역,혼합지역,문화체육휴양시설,문화체육휴양시설,공항,공항,항만,항만,철도,철도,도로,도로,기타교통통신시설,기타교통통신시설,환경기초시설,환경기초시설,교육행정시설,교육행정시설,기타공공시설,기타공공시설,경지정리가 된 논,경지정리가 된 논,경지정리가 안 된 논,경지정리가 안 된 논,경지정리가 된 밭,경지정리가 된 밭,경지정리가 안 된 밭,경지정리가 안 된 밭,시설재배지,시설재배지,과수원,과수원,목장양식장,목장양식장,기타재배지,기타재배지,활엽수림,활엽수림,침엽수림,침엽수림,혼효림,혼효림,자연초지,자연초지,골프장,골프장,묘지,묘지,기타초지,기타초지,내륙습지,내륙습지,갯벌,갯벌,염전,염전,해변,해변,강기슭,강기슭,암벽바위,암벽바위,채광지역,채광지역,운동장,운동장,기타나지,기타나지,하천,하천,호소,호소,해양수,해양수
"구분(1)",구분(2),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%)
"서울특별시",동대문구,14277374,100.00,1024853,7.18,870887,6.10,4794,0.03,1632754,11.44,-,-,213967,1.50,-,-,-,-,184982,1.30,6496144,45.50,-,-,4310,0.03,337974,2.37,194744,1.36,-,-,-,-,-,-,9423,0.07,2736,0.02,-,-,-,-,-,-,742594,5.20,107075,0.75,116185,0.81,1851,0.01,-,-,705,0.00,1535998,10.76,16527,0.12,-,-,-,-,-,-,5071,0.04,2643,0.02,-,-,115057,0.81,541783,3.79,107756,0.75,6562,0.05,-,-
"서울특별시",중랑구,18537445,100.00,1160831,6.26,1139197,6.15,7469,0.04,1134275,6.12,-,-,245916,1.33,-,-,-,-,260443,1.40,7067758,38.13,1751,0.01,5784,0.03,218495,1.18,161120,0.87,-,-,-,-,-,-,192630,1.04,3596,0.02,117942,0.64,971,0.01,1083,0.01,2353259,12.69,953568,5.14,222952,1.20,14274,0.08,-,-,541322,2.92,1788900,9.65,30496,0.16,-,-,-,-,-,-,22219,0.12,239690,1.29,-,-,121142,0.65,299043,1.61,230655,1.24,664,0.00,-,-
"서울특별시",성북구,24578799,100.00,1640335,6.67,1362784,5.54,1982,0.01,1177348,4.79,-,-,290876,1.18,-,-,-,-,45332,0.18,7950487,32.35,-,-,4247,0.02,541463,2.20,239942,0.98,-,-,-,-,-,-,85064,0.35,382,0.00,1627,0.01,98,0.00,-,-,4347058,17.69,1567083,6.38,1683803,6.85,5059,0.02,-,-,1116,0.00,2555602,10.40,29117,0.12,-,-,-,-,-,-,22149,0.09,110373,0.45,-,-,160849,0.65,695159,2.83,57591,0.23,1874,0.01,-,-
"서울특별시",강북구,23638413,100.00,1182785,5.00,1103631,4.67,3752,0.02,952198,4.03,-,-,142883,0.60,-,-,-,-,-,-,5227911,22.12,-,-,1411,0.01,180959,0.77,166426,0.70,-,-,-,-,-,-,84059,0.36,468,0.00,-,-,177,0.00,375,0.00,8119556,34.35,1421167,6.01,3079623,13.03,4192,0.02,-,-,8645,0.04,1056935,4.47,50354,0.21,-,-,-,-,-,-,9281,0.04,449462,1.90,-,-,78632,0.33,282213,1.19,20523,0.09,10798,0.05,-,-
"서울특별시",도봉구,20705082,100.00,620492,3.00,1137500,5.49,13914,0.07,827167,3.99,-,-,171047,0.83,-,-,-,-,94384,0.46,5610586,27.10,-,-,6838,0.03,242248,1.17,177184,0.86,-,-,5298,0.03,-,-,215893,1.04,11825,0.06,14463,0.07,525,0.00,5907,0.03,6797972,32.83,552324,2.67,1506807,7.28,10186,0.05,-,-,230446,1.11,1136395,5.49,63584,0.31,-,-,-,-,-,-,30634,0.15,415954,2.01,-,-,165057,0.80,491483,2.37,144989,0.70,3981,0.02,-,-
"서울특별시",노원구,35591266,100.00,444926,1.25,1454263,4.09,4225,0.01,1024364,2.88,-,-,541369,1.52,-,-,-,-,269921,0.76,9252939,26.00,1035,0.00,13313,0.04,591310,1.66,329487,0.93,-,-,4977,0.01,-,-,195204,0.55,8319,0.02,69952,0.20,638,0.00,22733,0.06,9628464,27.05,3878277,10.90,1457333,4.09,25686,0.07,308508,0.87,34670,0.10,3848943,10.81,41611,0.12,-,-,-,-,-,-,50665,0.14,545001,1.53,-,-,357717,1.01,814421,2.29,336322,0.94,34676,0.10,-,-
"서울특별시",은평구,29795877,100.00,1285422,4.31,2077988,6.97,3949,0.01,1087304,3.65,-,-,220871,0.74,-,-,-,-,100546,0.34,7740181,25.98,-,-,3933,0.01,275814,0.93,204860,0.69,-,-,-,-,-,-,318795,1.07,5396,0.02,3113,0.01,1644,0.01,66549,0.22,6885793,23.11,2929816,9.83,1766621,5.93,8911,0.03,-,-,43353,0.15,2058346,6.91,71673,0.24,-,-,-,-,-,-,44426,0.15,1795645,6.03,-,-,129486,0.43,585387,1.96,69709,0.23,10345,0.03,-,-
"서울특별시",서대문구,17687799,100.00,1133321,6.41,1137230,6.43,1905,0.01,892873,5.05,-,-,206194,1.17,-,-,-,-,76608,0.43,6247783,35.32,-,-,450,0.00,443672,2.51,140823,0.80,-,-,-,-,-,-,39854,0.23,1373,0.01,-,-,-,-,2405,0.01,3518014,19.89,1076779,6.09,281172,1.59,44,0.00,-,-,1130,0.01,1760866,9.96,35525,0.20,-,-,-,-,-,-,16281,0.09,284690,1.61,-,-,119564,0.68,231287,1.31,37955,0.21,-,-,-,-
"서울특별시",마포구,23862372,100.00,898451,3.77,1197998,5.02,5294,0.02,1617770,6.78,1487,0.01,304164,1.27,-,-,10502,0.04,179385,0.75,8965929,37.57,739,0.00,25289,0.11,277425,1.16,164199,0.69,-,-,-,-,-,-,62620,0.26,72,0.00,-,-,-,-,-,-,576718,2.42,83224,0.35,73446,0.31,56610,0.24,84399,0.35,4304,0.02,4509465,18.90,126535,0.53,-,-,-,-,-,-,14819,0.06,-,-,-,-,160927,0.67,322077,1.35,4118019,17.26,20505,0.09,-,-
"서울특별시",양천구,17462671,100.00,579169,3.32,1693755,9.70,6266,0.04,1091241,6.25,-,-,338653,1.94,-,-,-,-,47673,0.27,8036684,46.02,-,-,19053,0.11,269840,1.55,179483,1.03,-,-,-,-,-,-,90846,0.52,9712,0.06,-,-,16,0.00,14330,0.08,1480241,8.48,366958,2.10,221164,1.27,8928,0.05,-,-,8454,0.05,2352073,13.47,7611,0.04,-,-,-,-,-,-,-,-,636,0.00,-,-,235792,1.35,269092,1.54,106460,0.61,28541,0.16,-,-
