"구분(1)",구분(2),2023,2023,2024,2024
"구분(1)",구분(2),불투수면,불투수면,불투수면,불투수면
"구분(1)",구분(2),면적 (m²),비율 (%),면적 (m²),비율 (%)
"경기도",평택시,108122586,23.54,111196471,24.20
"경기도",동두천시,11858880,12.36,11954835,12.46
"경기도",안산시 상록구,19179496,32.84,19192913,32.87
"경기도",안산시 단원구,36227569,31.65,36449999,31.84
"경기도",고양시 덕양구,38657070,23.39,38705125,23.42
"경기도",고양시 일산동구,25624990,42.72,25708625,42.86
"경기도",고양시 일산서구,17463434,42.26,17510479,42.38
"경기도",과천시,7143976,19.93,7217099,20.13
"경기도",구리시,11017929,33.19,10990379,33.11
"경기도",남양주시,68642669,14.93,68804072,14.97
"경기도",오산시,16987742,39.82,17439156,40.88
"경기도",시흥시,50505144,35.66,50875166,35.92
"경기도",군포시,12333389,33.88,12340986,33.90
"경기도",의왕시,11833637,21.95,11918342,22.11
"경기도",하남시,21068425,22.69,21503759,23.16
"경기도",용인시 처인구,64400961,13.76,65309782,13.96
"경기도",용인시 기흥구,26928919,32.94,27029181,33.06
"경기도",용인시 수지구,12278924,29.14,12376660,29.37
"경기도",파주시,90590037,13.15,90299944,13.11
"경기도",이천시,77348904,16.75,78594943,17.02
"경기도",안성시,74672777,13.49,75875009,13.71
"경기도",김포시,69651449,24.82,70814141,25.23
"경기도",화성시,170372864,21.51,176436882,22.22
"경기도",광주시,59290726,13.79,60634991,14.10
"경기도",양주시,50609532,16.30,52086660,16.78
"경기도",포천시,79091724,9.58,80471410,9.74
"경기도",여주시,63011302,10.37,63656409,10.48
"경기도",연천군,34275373,5.01,32768245,4.79
"경기도",가평군,32329678,3.85,32714375,3.89
"경기도",양평군,53930788,6.15,54158564,6.18
"강원특별자치도",소계,569732734,3.39,565552641,3.36
"강원특별자치도",춘천시,53580426,4.80,54319118,4.87
"강원특별자치도",원주시,62196422,7.17,63050177,7.27
"강원특별자치도",강릉시,50371164,4.84,51168557,4.91
"강원특별자치도",동해시,17410984,9.60,17541550,9.67
"강원특별자치도",태백시,12227005,4.03,12308520,4.05
"강원특별자치도",속초시,10128814,9.56,10148785,9.58
"강원특별자치도",삼척시,33030217,2.78,33230711,2.79
"강원특별자치도",홍천군,48307213,2.66,48133808,2.65
"강원특별자치도",횡성군,39498401,3.96,39880362,4.00
"강원특별자치도",영월군,27261520,2.42,27210312,2.41
"강원특별자치도",평창군,40048368,2.74,39664527,2.71
"강원특별자치도",정선군,26887009,2.20,26885727,2.20
"강원특별자치도",철원군,38371744,4.31,36419340,4.09
"강원특별자치도",화천군,23222920,2.56,18127211,2.00
"강원특별자치도",양구군,22089076,3.34,21798515,3.30
"강원특별자치도",인제군,23538945,1.43,23525136,1.43
"강원특별자치도",고성군,21747211,3.29,21721005,3.28
"강원특별자치도",양양군,19815295,3.14,20419280,3.23
"충청북도",소계,528019491,7.12,535052252,7.22
"충청북도",청주시 상당구,28717208,7.12,29132343,7.22
"충청북도",청주시 서원구,23277417,18.91,23663128,19.23
"충청북도",청주시 흥덕구,46212527,23.25,47032431,23.66
"충청북도",청주시 청원구,38532970,17.94,39507862,18.39
"충청북도",충주시,70126509,7.14,71193306,7.25
"충청북도",제천시,41566520,4.71,41751760,4.73
"충청북도",보은군,29474406,5.05,29727915,5.09
"충청북도",옥천군,32617652,6.02,32853461,6.06
"충청북도",영동군,34791616,4.08,35076268,4.11
"충청북도",증평군,10304576,12.58,10656727,13.01
"충청북도",진천군,47619369,11.67,48128385,11.79
"충청북도",괴산군,34752973,4.13,35127600,4.17
"충청북도",음성군,68001468,13.09,68914935,13.27
"충청북도",단양군,22024279,2.82,22286131,2.85
"충청남도",소계,867869917,10.49,874241736,10.57
"충청남도",천안시 동남구,53431571,12.18,54161490,12.35
"충청남도",천안시 서북구,49512698,25.00,50228451,25.36
"충청남도",공주시,58414184,6.76,58625177,6.79
"충청남도",보령시,50402714,8.62,51159084,8.75
"충청남도",아산시,84768056,15.60,85437330,15.73
"충청남도",서산시,76347424,10.25,78154147,10.50
"충청남도",논산시,81047052,14.63,81038745,14.63
"충청남도",계룡시,5503704,9.05,5676931,9.34
"충청남도",당진시,87662668,12.35,88102660,12.41
"충청남도",금산군,35668478,6.18,35762352,6.20
"충청남도",부여군,66088617,10.58,65835634,10.54
