"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1425","FGN002","침투측구","0","0","18","1","0","11305","강북구",""
"1424","FGN005","정방형침투통","6","0","0","1","0","11500","강서구",""
"1423","FGN001","투수성포장","0","216","0","4","","11500","강서구",""
"1422","FGN004","원형침투통","4","0","","1","","11500","강서구",""
"1421","FGN001","투수성포장","0","167","0","3","","11680","강남구",""
"1419","FGN07","옥상녹화","0","232","0","1","0","11200","성동구","2017-01-09 00:00:00.0"
"1418","FGN999","기타","1","0","0","0","0","11410","서대문구","2016-12-30 00:00:00.0"
"1417","FGN001","투수성포장","0","284","0","5","0","11290","성북구","2016-12-15 00:00:00.0"
"1416","FGN003","침투트렌치","0","0","27","1","0","11590","동작구","2016-11-20 00:00:00.0"
"1415","FGN07","옥상녹화","0","101","0","1","0","11680","강남구","2016-08-04 00:00:00.0"
"1414","FGN005","정방형침투통","6","","","1","","11650","서초구","2016-11-10 00:00:00.0"
"1413","FGN001","투수성포장","0","21000","0","17","0","11500","강서구","2016-12-01 00:00:00.0"
"1412","FGN06","저류조","0","0","0","24","430","11440","마포구","2016-12-23 00:00:00.0"
"1411","FGN003","침투트렌치","0","139","0","6","0","11215","광진구","2016-12-01 00:00:00.0"
"1410","FGN07","옥상녹화","0","50","0","1","0","11470","양천구","2016-10-01 00:00:00.0"
"1409","FGN07","옥상녹화","0","14","0","1","0","11260","중랑구","2016-08-01 00:00:00.0"
"1408","FGN001","투수성포장","0","58","0","1","0","11650","서초구","2016-07-05 00:00:00.0"
"1407","FGN001","투수성포장","0","435","0","7","0","11650","서초구","2016-07-01 00:00:00.0"
"1406","FGN001","투수성포장","0","234","0","4","0","11200","성동구","2016-04-20 00:00:00.0"
"1405","FGN001","투수성포장","0","320","0","0","0","11500","강서구","2016-06-01 00:00:00.0"
"1404","FGN002","침투측구","0","0","4","1","0","11650","서초구","2016-09-01 00:00:00.0"
"1403","FGN001","투수성포장","0","365","0","6","0","11680","강남구","2016-12-11 00:00:00.0"
"1402","FGN06","저류조","1","","","1","","11500","강서구","2016-12-01 00:00:00.0"
"1401","FGN06","저류조","1","0","","16","","11530","구로구","2016-12-01 00:00:00.0"
"1400","FGN001","투수성포장","0","322","0","5","0","11500","강서구","2016-09-01 00:00:00.0"
"1399","FGN06","저류조","1","","","1","","11560","영등포구","2016-11-16 00:00:00.0"
"1398","FGN001","투수성포장","0","165","","4","0","11560","영등포구","2016-10-31 00:00:00.0"
"1397","FGN003","침투트렌치","0","","89","4","0","11110","종로구","2016-10-08 00:00:00.0"
"1396","FGN001","투수성포장","0","34","","1","","11650","서초구","2016-09-30 00:00:00.0"
"1395","FGN001","투수성포장","0","179","","3","","11500","강서구","2016-10-21 00:00:00.0"
"1394","FGN001","투수성포장","0","4100","","4","","11500","강서구","2016-11-01 00:00:00.0"
"1393","FGN005","정방형침투통","13","0","","2","","11500","강서구","2016-11-01 00:00:00.0"
"1392","FGN001","투수성포장","1","43","0","1","0","11650","서초구","2016-10-14 00:00:00.0"
"1391","FGN001","투수성포장","1","481","0","8","0","11290","성북구","2016-10-20 00:00:00.0"
"1390","FGN07","옥상녹화","2","0","","1","","11290","성북구","2016-09-30 00:00:00.0"
"1389","FGN001","투수성포장","462","","","8","","11650","서초구","2016-09-30 00:00:00.0"
"1388","FGN005","정방형침투통","8","","","2","","11215","광진구","2016-10-15 00:00:00.0"
"1387","FGN06","저류조","1","","","5","","11170","용산구","2016-06-13 00:00:00.0"
"1386","FGN001","투수성포장","9550","382","0","7","","11500","강서구","2016-10-01 00:00:00.0"
"1385","FGN003","침투트렌치","1","","70","1","","11530","구로구","2016-10-10 00:00:00.0"
"1384","FGN003","침투트렌치","1","0","22","1","0","11500","강서구","2016-09-01 00:00:00.0"
"1383","FGN06","저류조","1","20","","1","","11215","광진구","2016-09-30 00:00:00.0"
"1382","FGN07","옥상녹화","1","268","0","1","13","11650","서초구","2016-08-25 00:00:00.0"
"1381","FGN005","정방형침투통","12","0","0","6","","11260","중랑구","2016-09-09 00:00:00.0"
"1380","FGN004","원형침투통","22","0","0","4","0","11260","중랑구","2016-08-01 00:00:00.0"
"1379","FGN003","침투트렌치","1","0","52","2","","11470","양천구","2016-09-23 00:00:00.0"
"1378","FGN001","투수성포장","1","33","","1","","11680","강남구","2016-08-31 00:00:00.0"
"1377","FGN001","투수성포장","0","91","0","2","0","11470","양천구","2016-09-01 00:00:00.0"
"1376","FGN001","투수성포장","0","44","0","1","0","11620","관악구","2016-08-01 00:00:00.0"
"1374","FGN001","투수성포장","1","20","","1","","11500","강서구","2016-07-24 00:00:00.0"
"1373","FGN003","침투트렌치","0","0","54","3","","11530","구로구","2016-08-05 00:00:00.0"
"1372","FGN001","투수성포장","1","671","","11","","11530","구로구","2016-08-01 00:00:00.0"
"1371","FGN003","침투트렌치","0","","60","3","0","11530","구로구","2016-08-05 00:00:00.0"
"1370","FGN003","침투트렌치","0","","12","1","0","11560","영등포구","2016-06-27 00:00:00.0"
"1369","FGN005","정방형침투통","4","","","0","","11560","영등포구","2016-07-01 00:00:00.0"
"1368","FGN003","침투트렌치","0","0","56","2","0","11560","영등포구","2016-07-04 00:00:00.0"
"1367","FGN001","투수성포장","0","53","","1","","11650","서초구","2016-07-02 00:00:00.0"
"1366","FGN003","침투트렌치","0","0","74","3","","11560","영등포구","2016-07-01 00:00:00.0"
"1365","FGN001","투수성포장","0","78","","1","","11215","광진구","2016-08-01 00:00:00.0"
"1364","FGN001","투수성포장","0","308","0","4","0","11470","양천구","2016-07-01 00:00:00.0"
"1363","FGN07","옥상녹화","1","68","","1","","11215","광진구","2016-07-10 00:00:00.0"
"1362","FGN003","침투트렌치","2","0","","1","","11620","관악구","2016-07-01 00:00:00.0"
"1361","FGN001","투수성포장","1","62","0","1","","11260","중랑구","2016-06-01 00:00:00.0"
"1360","FGN001","투수성포장","0","35","0","1","0","11260","중랑구","2016-07-01 00:00:00.0"
"1359","FGN005","정방형침투통","14","","","3","","11530","구로구","2016-08-03 00:00:00.0"
"1358","FGN003","침투트렌치","0","","51","4","0","11530","구로구","2016-07-07 00:00:00.0"
"1357","FGN06","저류조","1","0","","1","25","11620","관악구","2016-06-17 00:00:00.0"
"1356","FGN002","침투측구","0","0","30","2","","11650","서초구","2016-05-31 00:00:00.0"
"1355","FGN001","투수성포장","0","23","0","1","","11710","송파구","2016-05-16 00:00:00.0"
"1354","FGN07","옥상녹화","0","414","","1","21","11500","강서구","2016-06-10 00:00:00.0"
"1353","FGN005","정방형침투통","2","0","","1","","11560","영등포구","2016-12-01 00:00:00.0"
"1352","FGN07","옥상녹화","0","33","2","1","0","11560","영등포구","2016-11-01 00:00:00.0"
"1351","FGN001","투수성포장","0","176","","0","","11710","송파구","2016-11-01 00:00:00.0"
"1350","FGN004","원형침투통","1","","","1","0","11650","서초구","2016-06-01 00:00:00.0"
"1349","FGN001","투수성포장","0","1496","0","25","0","11710","송파구","2016-12-08 00:00:00.0"
"1348","FGN003","침투트렌치","1","","12","1","","11560","영등포구","2016-06-27 00:00:00.0"
"1347","FGN001","투수성포장","0","1337","314","23","0","11410","서대문구","2015-12-17 00:00:00.0"
"1345","FGN003","침투트렌치","0","0","39","2","0","11200","성동구","2016-11-29 00:00:00.0"
"1344","FGN001","투수성포장","0","4200","450","71","0","11710","송파구","2015-12-15 00:00:00.0"
"1343","FGN001","투수성포장","0","2438","876","41","0","11110","종로구","2015-07-30 00:00:00.0"
"1342","FGN001","투수성포장","0","1495","320","25","0","11560","영등포구","2015-09-30 00:00:00.0"
"1341","FGN002","침투측구","0","","70","4","","11290","성북구","2015-06-30 00:00:00.0"
"1340","FGN001","투수성포장","0","1400","200","24","0","11650","서초구","2015-12-04 00:00:00.0"
"1339","FGN001","투수성포장","0","630","275","11","0","11590","동작구","2015-12-22 00:00:00.0"
"1338","FGN001","투수성포장","0","1060","350","18","0","11320","도봉구","2015-11-13 00:00:00.0"
"1337","FGN001","투수성포장","0","2400","400","41","0","11530","구로구","2015-11-10 00:00:00.0"
"1336","FGN001","투수성포장","0","210","35","4","0","11500","강서구","2015-07-31 00:00:00.0"
"1335","FGN001","투수성포장","0","2850","950","48","0","11500","강서구","2015-07-31 00:00:00.0"
"1334","FGN001","투수성포장","0","1506","600","26","0","11740","강동구","2015-09-30 00:00:00.0"
"1333","FGN07","옥상녹화","0","2120","0","6","0","11710","송파구","2016-10-05 00:00:00.0"
"1332","FGN003","침투트렌치","0","0","27","2","0","11710","송파구","2016-08-01 00:00:00.0"
"1331","FGN005","정방형침투통","1","0","0","0","0","11710","송파구","2016-11-01 00:00:00.0"
"1330","FGN07","옥상녹화","0","71","0","0","0","11710","송파구","2016-06-07 00:00:00.0"
"1329","FGN07","옥상녹화","0","240","0","12","0","11710","송파구","2016-05-01 00:00:00.0"
"1328","FGN07","옥상녹화","0","142","0","0","0","11590","동작구","2016-05-01 00:00:00.0"
"1327","FGN003","침투트렌치","0","0","91","4","0","11710","송파구","2016-11-23 00:00:00.0"
"1325","FGN07","옥상녹화","0","113","0","0","0","11590","동작구","2016-01-01 00:00:00.0"
"1323","FGN07","옥상녹화","0","145","0","0","0","11590","동작구","2016-05-01 00:00:00.0"
"1322","FGN003","침투트렌치","0","0","102","4","0","11710","송파구","2016-04-01 00:00:00.0"
"1321","FGN07","옥상녹화","0","76","0","0","0","11710","송파구","2016-04-28 00:00:00.0"
"1320","FGN005","정방형침투통","4","0","0","1","0","11710","송파구","2016-10-31 00:00:00.0"
"1319","FGN07","옥상녹화","0","242","0","0","0","11710","송파구","2016-01-18 00:00:00.0"
"1318","FGN07","옥상녹화","0","32","","0","","11710","송파구","2016-01-09 00:00:00.0"
"1317","FGN002","침투측구","0","0","7","0","","11590","동작구","2016-10-26 00:00:00.0"
"1316","FGN002","침투측구","0","0","117","8","","11710","송파구","2016-07-11 00:00:00.0"
"1315","FGN07","옥상녹화","0","102","0","1","","11710","송파구","2016-10-28 00:00:00.0"
"1314","FGN003","침투트렌치","0","","87","4","","11200","성동구","2016-11-01 00:00:00.0"
"1311","FGN005","정방형침투통","5","0","0","1","0","11470","양천구","2016-03-28 00:00:00.0"
"1310","FGN005","정방형침투통","12","0","0","3","0","11290","성북구","2016-03-16 00:00:00.0"
"1309","FGN07","옥상녹화","0","301","0","1","0","11650","서초구","2015-08-31 00:00:00.0"
"1308","FGN001","투수성포장","0","170","0","3","0","11500","강서구","2015-10-06 00:00:00.0"
"1307","FGN005","정방형침투통","5","0","0","1","0","11530","구로구","2015-10-14 00:00:00.0"
"1306","FGN002","침투측구","0","0","60","3","0","11410","서대문구","2015-10-30 00:00:00.0"
"1305","FGN005","정방형침투통","4","0","0","1","0","11710","송파구","2016-03-14 00:00:00.0"
"1304","FGN07","옥상녹화","0","168","0","0","0","11710","송파구","2015-11-30 00:00:00.0"
"1303","FGN005","정방형침투통","7","0","0","1","0","11680","강남구","2015-11-24 00:00:00.0"
"1302","FGN005","정방형침투통","12","0","0","3","0","11290","성북구","2016-03-11 00:00:00.0"
"1301","FGN005","정방형침투통","12","0","0","3","0","11290","성북구",""
"1300","FGN07","옥상녹화","0","58","0","0","0","11650","서초구","2016-02-29 00:00:00.0"
"1299","FGN003","침투트렌치","0","","28","2","","11530","구로구","2016-02-17 00:00:00.0"
"1298","FGN001","투수성포장","0","176","","3","","11530","구로구","2016-02-15 00:00:00.0"
"1297","FGN005","정방형침투통","1","0","0","0","0","11650","서초구","2015-08-21 00:00:00.0"
"1296","FGN004","원형침투통","8","","","0","","11545","금천구","2015-11-18 00:00:00.0"
"1295","FGN06","저류조","1","","","1","275","11260","중랑구","2015-10-16 00:00:00.0"
"1294","FGN001","투수성포장","0","1174","","20","","11500","강서구","2015-09-16 00:00:00.0"
"1293","FGN003","침투트렌치","0","0","27","1","0","11590","동작구","2016-01-28 00:00:00.0"
"1292","FGN07","옥상녹화","0","21","","0","","11590","동작구",""
"1290","FGN07","옥상녹화","0","21","","0","0","11590","동작구",""
"1289","FGN07","옥상녹화","0","71","","0","","11590","동작구","2016-01-15 00:00:00.0"
"1287","FGN004","원형침투통","5","","","1","","11215","광진구","2014-12-01 00:00:00.0"
"1286","FGN001","투수성포장","1","","382","6","","11530","구로구","2014-01-01 00:00:00.0"
"1285","FGN002","침투측구","33","","","1","","11200","성동구","2014-09-14 00:00:00.0"
"1284","FGN001","투수성포장","1","1267","384","22","","11380","은평구","2013-11-30 00:00:00.0"
"1282","FGN001","투수성포장","1","1000","200","17","","11380","은평구","2013-12-31 00:00:00.0"
"1263","FGN001","투수성포장","1","299","","5","","11170","용산구","2013-12-31 00:00:00.0"
"1262","FGN001","투수성포장","1","187","","3","","11170","용산구","2013-12-01 00:00:00.0"
"1261","FGN001","투수성포장","1","207","","4","","11170","용산구","2013-12-01 00:00:00.0"
"1260","FGN001","투수성포장","1","143","","2","","11170","용산구","2013-07-18 00:00:00.0"
"1247","FGN001","투수성포장","1","98","245","0","","11650","서초구","2013-11-30 00:00:00.0"
"1239","FGN001","투수성포장","1","1263","421","21","","11440","마포구","2013-12-31 00:00:00.0"
"1238","FGN001","투수성포장","1","740","296","13","","11440","마포구","2013-12-31 00:00:00.0"
"1232","FGN001","투수성포장","1","3720","620","63","","11350","노원구","2013-10-15 00:00:00.0"
"1231","FGN001","투수성포장","1","5660","1030","96","","11350","노원구","2013-11-20 00:00:00.0"
"1222","FGN001","투수성포장","1","9000","1500","153","","11500","강서구","2013-12-01 00:00:00.0"
"1221","FGN001","투수성포장","1","4800","1920","82","","11500","강서구","2013-06-01 00:00:00.0"
"1219","FGN001","투수성포장","1","74","93","1","","11305","강북구","2013-11-15 00:00:00.0"
"1178","FGN001","투수성포장","1","1872","0","25","","11530","구로구","2011-01-01 00:00:00.0"
"1177","FGN003","침투트렌치","1","0","299","13","","11530","구로구","2012-01-01 00:00:00.0"
"1176","FGN001","투수성포장","1","6750","0","90","","11545","금천구","2012-01-01 00:00:00.0"
"1175","FGN001","투수성포장","1","10230","0","136","","11680","강남구","2012-01-01 00:00:00.0"
"1174","FGN001","투수성포장","1","214","0","3","","11650","서초구","2011-01-01 00:00:00.0"
"1173","FGN001","투수성포장","1","3895","0","52","","11650","서초구","2011-01-01 00:00:00.0"
"1172","FGN001","투수성포장","1","8691","0","115","","11650","서초구","2012-01-01 00:00:00.0"
"1171","FGN001","투수성포장","1","3198","0","42","","11710","송파구","2011-01-01 00:00:00.0"
"1170","FGN001","투수성포장","1","2591","0","34","","11530","구로구","2011-01-01 00:00:00.0"
"1169","FGN001","투수성포장","1","2340","0","31","","11530","구로구","2011-01-01 00:00:00.0"
"1168","FGN001","투수성포장","1","17287","0","229","","11560","영등포구","2011-01-01 00:00:00.0"
"1167","FGN001","투수성포장","1","29300","0","388","","11710","송파구","2011-01-01 00:00:00.0"
"1166","FGN001","투수성포장","1","1991","0","26","","11710","송파구","2011-01-01 00:00:00.0"
"1165","FGN003","침투트렌치","1","0","776","34","","11710","송파구","2011-01-01 00:00:00.0"
"1164","FGN001","투수성포장","1","1451","0","19","","11710","송파구","2011-01-01 00:00:00.0"
"1163","FGN001","투수성포장","1","606","0","8","","11710","송파구","2011-01-01 00:00:00.0"
"1162","FGN003","침투트렌치","1","0","2433","106","","11710","송파구","2011-01-01 00:00:00.0"
"1161","FGN002","침투측구","1","0","8694","301","","11710","송파구","2011-01-01 00:00:00.0"
"1160","FGN002","침투측구","1","0","90","3","","11710","송파구","2011-01-01 00:00:00.0"
"1159","FGN002","침투측구","1","0","820","28","","11590","동작구","2011-01-01 00:00:00.0"
"1158","FGN001","투수성포장","1","6891","0","91","","11710","송파구","2011-01-01 00:00:00.0"
"1157","FGN001","투수성포장","1","10100","0","134","","11710","송파구","2011-01-01 00:00:00.0"
"1156","FGN003","침투트렌치","1","0","208","9","","11710","송파구","2010-01-01 00:00:00.0"
"1155","FGN001","투수성포장","1","29536","0","392","","11470","양천구","2010-01-01 00:00:00.0"
"1154","FGN001","투수성포장","1","4926","0","65","","11500","강서구","2010-01-01 00:00:00.0"
"1153","FGN001","투수성포장","1","3527","0","47","","11740","강동구","2010-01-01 00:00:00.0"
"1152","FGN001","투수성포장","1","84590","0","1121","","11215","광진구","2010-01-01 00:00:00.0"
"1151","FGN001","투수성포장","1","1426","0","19","","11200","성동구","2010-01-01 00:00:00.0"
"1150","FGN001","투수성포장","1","2403","0","32","","11740","강동구","2010-01-01 00:00:00.0"
"1149","FGN001","투수성포장","1","20247","0","268","","11740","강동구","2010-01-01 00:00:00.0"
"1148","FGN001","투수성포장","1","2237","0","30","","11500","강서구","2010-01-01 00:00:00.0"
"1147","FGN001","투수성포장","1","9185","0","122","","11740","강동구","2010-01-01 00:00:00.0"
"1146","FGN002","침투측구","1","0","2800","97","","11740","강동구","2010-01-01 00:00:00.0"
"1145","FGN003","침투트렌치","1","0","268","12","","11740","강동구","2010-01-01 00:00:00.0"
"1144","FGN001","투수성포장","1","38434","0","509","","11740","강동구","2010-01-01 00:00:00.0"
"1143","FGN001","투수성포장","1","4000","0","53","","11740","강동구","2010-01-01 00:00:00.0"
"1142","FGN001","투수성포장","1","1520","0","20","","11140","중구","2010-01-01 00:00:00.0"
"1141","FGN001","투수성포장","1","16188","0","215","","11500","강서구","2010-01-01 00:00:00.0"
"1140","FGN001","투수성포장","1","577","0","8","","11500","강서구","2010-01-01 00:00:00.0"
"1139","FGN001","투수성포장","1","1155","0","15","","11740","강동구","2010-01-01 00:00:00.0"
"1138","FGN001","투수성포장","1","6689","0","89","","11230","동대문구","2010-01-01 00:00:00.0"
"1137","FGN001","투수성포장","1","5400","0","72","","11410","서대문구","2010-01-01 00:00:00.0"
"1136","FGN001","투수성포장","1","840","0","11","","11380","은평구","2009-01-01 00:00:00.0"
"1135","FGN001","투수성포장","1","1306","0","17","","11380","은평구","2009-01-01 00:00:00.0"
"1134","FGN001","투수성포장","1","2512","0","33","","11380","은평구","2009-01-01 00:00:00.0"
"1133","FGN001","투수성포장","1","1463","0","19","","11260","중랑구","2009-01-01 00:00:00.0"
"1132","FGN001","투수성포장","1","2316","0","31","","11260","중랑구","2009-01-01 00:00:00.0"
"1131","FGN001","투수성포장","1","2048","0","27","","11260","중랑구","2009-01-01 00:00:00.0"
"1130","FGN001","투수성포장","1","1005","0","13","","11320","도봉구","2009-01-01 00:00:00.0"
"1129","FGN001","투수성포장","1","712","0","9","","11350","노원구","2009-01-01 00:00:00.0"
"1128","FGN001","투수성포장","1","2218","0","29","","11350","노원구","2009-01-01 00:00:00.0"
"1127","FGN001","투수성포장","1","4103","0","54","","11230","동대문구","2009-01-01 00:00:00.0"
"1126","FGN001","투수성포장","1","3295","0","44","","11110","종로구","2009-01-01 00:00:00.0"
"1125","FGN001","투수성포장","1","1419","0","19","","11440","마포구","2009-01-01 00:00:00.0"
"1124","FGN001","투수성포장","1","1309","0","17","","11440","마포구","2009-01-01 00:00:00.0"
"1123","FGN001","투수성포장","1","4181","0","55","","11440","마포구","2009-01-01 00:00:00.0"
"1122","FGN001","투수성포장","1","2526","0","34","","11230","동대문구","2009-01-01 00:00:00.0"
"1121","FGN001","투수성포장","1","1667","0","22","","11410","서대문구","2009-01-01 00:00:00.0"
"1120","FGN001","투수성포장","1","3619","0","48","","11290","성북구","2009-01-01 00:00:00.0"
"1119","FGN001","투수성포장","1","4625","0","61","","11290","성북구","2009-01-01 00:00:00.0"
"1118","FGN001","투수성포장","1","1800","0","24","","11290","성북구","2008-01-01 00:00:00.0"
"1117","FGN001","투수성포장","1","1565","0","21","","11305","강북구","2008-01-01 00:00:00.0"
"1116","FGN001","투수성포장","1","1453","0","19","","11305","강북구","2008-01-01 00:00:00.0"
"1115","FGN001","투수성포장","1","1666","0","22","","11290","성북구","2008-01-01 00:00:00.0"
"1114","FGN001","투수성포장","1","2375","0","32","","11290","성북구","2008-01-01 00:00:00.0"
"1113","FGN001","투수성포장","1","2469","0","33","","11380","은평구","2008-01-01 00:00:00.0"
"1112","FGN001","투수성포장","1","3293","0","44","","11380","은평구","2008-01-01 00:00:00.0"
"1111","FGN001","투수성포장","1","951","0","13","","11380","은평구","2008-01-01 00:00:00.0"
"1110","FGN004","원형침투통","1","0","0","0","","11380","은평구","2008-01-01 00:00:00.0"
"1109","FGN001","투수성포장","1","321","0","4","","11380","은평구","2008-01-01 00:00:00.0"
"1108","FGN001","투수성포장","1","2704","0","36","","11380","은평구","2008-01-01 00:00:00.0"
"1107","FGN001","투수성포장","1","973","0","13","","11380","은평구","2007-01-01 00:00:00.0"
"1106","FGN001","투수성포장","1","1182","0","16","","11380","은평구","2007-01-01 00:00:00.0"
"1105","FGN001","투수성포장","1","810","0","11","","11380","은평구","2007-01-01 00:00:00.0"
"1104","FGN001","투수성포장","1","1366","0","18","","11380","은평구","2007-01-01 00:00:00.0"
"1103","FGN001","투수성포장","1","3821","0","51","","11380","은평구","2007-01-01 00:00:00.0"
"1102","FGN001","투수성포장","1","2281","0","30","","11380","은평구","2006-01-01 00:00:00.0"
"1101","FGN001","투수성포장","1","2851","0","38","","11350","노원구","2006-01-01 00:00:00.0"
"1090","FGN001","투수성포장","1","1120","350","19","","11140","중구","2014-11-30 00:00:00.0"
"1089","FGN001","투수성포장","1","784","196","13","","11140","중구","2014-11-04 00:00:00.0"
"1088","FGN001","투수성포장","1","896","199","15","","11140","중구","2014-11-04 00:00:00.0"
"1087","FGN001","투수성포장","1","600","200","10","","11140","중구","2014-07-30 00:00:00.0"
"1086","FGN001","투수성포장","1","600","200","10","","11140","중구","2014-07-30 00:00:00.0"
"1085","FGN001","투수성포장","1","960","200","16","","11140","중구","2014-07-30 00:00:00.0"
"1083","FGN001","투수성포장","1","800","200","14","","11380","은평구","2014-12-31 00:00:00.0"
"1081","FGN001","투수성포장","1","411","154","7","","11380","은평구","2014-12-31 00:00:00.0"
"1080","FGN001","투수성포장","1","543","158","9","","11380","은평구","2014-12-31 00:00:00.0"
"1079","FGN001","투수성포장","1","564","169","10","","11380","은평구","2014-12-31 00:00:00.0"
"1078","FGN001","투수성포장","1","78","36","1","","11380","은평구","2014-12-31 00:00:00.0"
"1077","FGN001","투수성포장","1","587","143","10","","11380","은평구","2014-12-31 00:00:00.0"
"1076","FGN001","투수성포장","1","145","54","2","","11380","은평구","2014-12-31 00:00:00.0"
"1075","FGN001","투수성포장","1","183","65","3","","11380","은평구","2014-12-31 00:00:00.0"
"1074","FGN001","투수성포장","1","359","130","6","","11380","은평구","2014-12-31 00:00:00.0"
"1073","FGN001","투수성포장","1","170","82","3","","11380","은평구","2014-12-31 00:00:00.0"
"1072","FGN001","투수성포장","1","152","51","3","","11380","은평구","2014-12-31 00:00:00.0"
"1071","FGN001","투수성포장","1","32","17","1","","11380","은평구","2014-12-31 00:00:00.0"
"1070","FGN001","투수성포장","1","110","49","2","","11380","은평구","2014-12-31 00:00:00.0"
"1069","FGN001","투수성포장","1","62","27","1","","11380","은평구","2014-12-31 00:00:00.0"
"1068","FGN001","투수성포장","1","32","16","1","","11380","은평구","2014-12-31 00:00:00.0"
"1067","FGN001","투수성포장","1","72","32","1","","11380","은평구","2014-12-31 00:00:00.0"
"1066","FGN001","투수성포장","1","91","49","2","","11380","은평구","2014-12-31 00:00:00.0"
"1065","FGN001","투수성포장","1","101","","2","","11170","용산구","2014-09-16 00:00:00.0"
"1064","FGN001","투수성포장","1","261","","4","","11170","용산구","2014-05-23 00:00:00.0"
"1057","FGN001","투수성포장","1","1500","300","26","","11560","영등포구","2014-10-30 00:00:00.0"
"1056","FGN001","투수성포장","1","900","300","15","","11560","영등포구","2014-09-30 00:00:00.0"
"1055","FGN001","투수성포장","1","1124","353","19","","11560","영등포구","2014-06-13 00:00:00.0"
"1054","FGN001","투수성포장","1","400","50","7","","11710","송파구","2014-11-30 00:00:00.0"
"1053","FGN001","투수성포장","1","100","100","2","","11710","송파구","2014-11-30 00:00:00.0"
"1052","FGN001","투수성포장","1","3300","530","56","","11710","송파구","2014-11-30 00:00:00.0"
"1051","FGN001","투수성포장","1","270","67","5","","11290","성북구","2014-12-24 00:00:00.0"
"1050","FGN001","투수성포장","1","33","83","0","","11650","서초구","2014-10-30 00:00:00.0"
"1049","FGN001","투수성포장","1","20","51","0","","11650","서초구","2014-11-30 00:00:00.0"
"1048","FGN001","투수성포장","1","192","480","0","","11650","서초구","2014-11-30 00:00:00.0"
"1046","FGN001","투수성포장","1","1080","300","18","","11650","서초구","2014-11-30 00:00:00.0"
"1045","FGN001","투수성포장","1","800","200","14","","11650","서초구","2014-07-25 00:00:00.0"
"1044","FGN001","투수성포장","1","600","200","10","","11440","마포구","2014-08-11 00:00:00.0"
"1043","FGN001","투수성포장","1","100","40","2","","11440","마포구","2014-08-11 00:00:00.0"
"1042","FGN001","투수성포장","1","100","40","2","","11440","마포구","2014-08-11 00:00:00.0"
"1041","FGN001","투수성포장","1","113","45","2","","11440","마포구","2014-08-11 00:00:00.0"
"1040","FGN001","투수성포장","1","250","100","4","","11440","마포구","2014-08-11 00:00:00.0"
"1037","FGN001","투수성포장","1","160","80","3","","11230","동대문구","2014-12-31 00:00:00.0"
"1036","FGN001","투수성포장","1","944","472","16","","11320","도봉구","2014-08-19 00:00:00.0"
"1035","FGN001","투수성포장","1","672","320","11","","11320","도봉구","2014-08-20 00:00:00.0"
"1034","FGN001","투수성포장","1","1108","322","19","","11350","노원구","2014-11-15 00:00:00.0"
"1033","FGN001","투수성포장","1","2500","725","43","","11350","노원구","2014-09-30 00:00:00.0"
"1030","FGN001","투수성포장","1","610","510","10","","11530","구로구","2014-05-30 00:00:00.0"
"1029","FGN001","투수성포장","1","1890","420","32","","11530","구로구","2014-05-22 00:00:00.0"
"1027","FGN001","투수성포장","1","875","350","15","","11500","강서구","2014-11-01 00:00:00.0"
"1026","FGN001","투수성포장","1","3375","1350","57","","11500","강서구","2014-01-01 00:00:00.0"
"1025","FGN001","투수성포장","1","1550","620","26","","11500","강서구","2014-01-01 00:00:00.0"
"1024","FGN001","투수성포장","1","240","200","4","","11500","강서구","2014-07-01 00:00:00.0"
"1023","FGN001","투수성포장","1","300","120","5","","11500","강서구","2014-05-01 00:00:00.0"
"1020","FGN001","투수성포장","1","544","","9","","11305","강북구","2014-07-18 00:00:00.0"
"1018","FGN001","투수성포장","1","66","","1","","11305","강북구","2014-12-10 00:00:00.0"
"1017","FGN001","투수성포장","1","371","","6","","11305","강북구","2014-12-10 00:00:00.0"
"1016","FGN001","투수성포장","1","350","50","6","","11680","강남구","2014-06-26 00:00:00.0"
"1015","FGN001","투수성포장","1","636","120","11","","11680","강남구","2014-06-26 00:00:00.0"
"1014","FGN001","투수성포장","1","444","120","8","","11680","강남구","2014-06-26 00:00:00.0"
"1013","FGN001","투수성포장","1","204","60","3","","11680","강남구","2014-12-17 00:00:00.0"
"1012","FGN001","투수성포장","1","1165","466","20","","11680","강남구","2014-12-17 00:00:00.0"
"1011","FGN001","투수성포장","1","350","140","6","","11680","강남구","2014-12-17 00:00:00.0"
"1010","FGN001","투수성포장","1","400","100","7","","11680","강남구","2014-12-17 00:00:00.0"
"1009","FGN001","투수성포장","1","700","200","12","","11680","강남구","2014-12-17 00:00:00.0"
"1008","FGN001","투수성포장","1","200","80","3","","11680","강남구","2014-12-17 00:00:00.0"
"1007","FGN001","투수성포장","1","280","70","5","","11680","강남구","2015-01-28 00:00:00.0"
"1006","FGN001","투수성포장","1","920","230","16","","11680","강남구","2015-01-28 00:00:00.0"
"1005","FGN001","투수성포장","1","2145","330","36","","11680","강남구","2015-01-28 00:00:00.0"
"1004","FGN001","투수성포장","1","480","80","8","","11680","강남구","2014-12-19 00:00:00.0"
