법정동명,법정동코드,반지하개수
서울특별시 성동구 하왕십리동,1120010200,76
서울특별시 성동구 행당동,1120010700,228
서울특별시 성동구 홍익동,1120010300,4
서울특별시 성북구 길음동,1129013400,188
서울특별시 성북구 돈암동,1129010300,117
서울특별시 성북구 동선동4가,1129011900,13
서울특별시 성북구 동소문동4가,1129010700,19
서울특별시 성북구 동소문동7가,1129011000,3
서울특별시 성북구 보문동1가,1129013000,19
서울특별시 성북구 보문동3가,1129013200,3
서울특별시 성북구 보문동6가,1129012800,13
서울특별시 성북구 삼선동2가,1129011200,20
서울특별시 성북구 삼선동3가,1129011300,97
서울특별시 성북구 삼선동4가,1129011400,12
서울특별시 성북구 상월곡동,1129013700,7
서울특별시 성북구 석관동,1129013900,54
서울특별시 성북구 성북동,1129010100,63
서울특별시 성북구 안암동1가,1129012100,18
서울특별시 성북구 안암동3가,1129012300,11
서울특별시 성북구 안암동4가,1129012400,1
서울특별시 성북구 안암동5가,1129012500,4
서울특별시 성북구 장위동,1129013800,220
서울특별시 성북구 정릉동,1129013300,451
서울특별시 성북구 종암동,1129013500,121
서울특별시 성북구 하월곡동,1129013600,67
서울특별시 송파구 가락동,1171010700,676
서울특별시 송파구 거여동,1171011300,344
서울특별시 송파구 마천동,1171011400,222
서울특별시 송파구 문정동,1171010800,202
서울특별시 송파구 방이동,1171011100,110
서울특별시 송파구 삼전동,1171010600,8
서울특별시 송파구 석촌동,1171010500,12
서울특별시 송파구 송파동,1171010400,163
서울특별시 송파구 신천동,1171010200,297
서울특별시 송파구 오금동,1171011200,119
서울특별시 송파구 잠실동,1171010100,188
서울특별시 송파구 장지동,1171010900,602
서울특별시 송파구 풍납동,1171010300,80
서울특별시 양천구 목동,1147010200,162
서울특별시 양천구 신월동,1147010300,364
서울특별시 양천구 신정동,1147010100,485
서울특별시 영등포구 당산동,1156011700,23
서울특별시 영등포구 당산동1가,1156011100,23
서울특별시 영등포구 당산동2가,1156011200,27
서울특별시 영등포구 당산동3가,1156011300,39
서울특별시 영등포구 당산동4가,1156011400,76
서울특별시 영등포구 당산동5가,1156011500,86
서울특별시 영등포구 대림동,1156013300,91
서울특별시 영등포구 도림동,1156011800,36
